"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
6513172,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","59082692|68321682"
6513182,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","59082712|68321272"
6513212,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","59082782|68318012"
6513222,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","59082802|68321322"
6513242,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","59082902|68320972"
6513342,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","68321642"
6513402,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","59083572"
7251472,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","65214142|65216872|65216052|65690212|65216682|78033182"
7345162,32.833717,-97.208359,"Chili's","North Richland Hills","55965312"
7734042,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73569402"
7734062,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69313862"
7734082,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69313812"
7734092,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69313802"
7734152,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69313682"
7734162,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69313662"
7734212,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69313652"
7734332,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315292"
7734352,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315252"
7734372,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315232"
7734392,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315222"
7734402,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315202"
7734412,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315192"
7734422,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315172"
7734442,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69315142"
7741252,32.833389,-97.218849,"Cinemark 8","North Richland Hills","73098132"
7814962,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69968952"
7814982,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69969002"
7815202,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69970582"
7815242,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69970652"
7815262,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69970732"
7815272,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69970742"
7815542,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69971712"
7815552,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69971702"
7815562,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69971692"
7815682,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69972952"
7815692,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69973002"
7815702,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69973012"
7815732,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69973022"
7815742,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","69973042"
7852002,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70283032"
7852012,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70283012"
7852072,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70283282"
7852102,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70283332"
7852232,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285142"
7852252,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285172"
7852272,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285192"
7852282,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285212"
7852292,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285222"
7852312,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285232"
7852322,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285242"
7852332,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285262"
7852342,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285282"
7852352,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285292"
7852362,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285302"
7852502,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70285982"
7852522,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","70286012"
8137102,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72756502"
8137152,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72756612"
8137162,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72756642"
8137202,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72756792"
8137212,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72756822"
8137222,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72756842"
8137512,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72758302"
8137542,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72758372"
8137552,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72758412"
8137562,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72758422"
8137582,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72758482"
8137622,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72758562"
8137742,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72759302"
8137762,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72759352"
8137772,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72759392"
8137792,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72759502"
8137802,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","72759522"
8158532,32.884979,-97.203491,"US Post Office","North Richland Hills","72933142|84184242|98248682"
8176862,32.848145,-97.195282,"NRH2O Family Waterpark","North Richland Hills","78608522|73092832"
8231442,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73566032"
8252122,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73728702"
8252222,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73729342"
8252592,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73731792"
8252642,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73732012"
8252652,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73732052"
8252662,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73732212"
8252672,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73732342"
8252682,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73732672"
8252712,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73732842"
8252722,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733032"
8252732,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733142"
8252742,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733282"
8252752,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733452"
8252772,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733772"
8252792,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733782"
8252802,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73733792"
8253252,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","73735062"
8290502,32.855247,-97.192818,"North Richland Hills Public Library","North Richland Hills","74047592|74048322|74048512|74047422|74048372|74048392|74048502|74048562|74048452|74048492|74047562|74048422|74204822|74047492|74047522|74048412"
8290632,32.855247,-97.192818,"North Richland Hills Public Library","North Richland Hills","74046722"
8290712,32.855247,-97.192818,"North Richland Hills Public Library","North Richland Hills","74047402"
8521082,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","76043992"
8748122,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78035002"
8748592,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78031852"
8748682,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78033032"
8748722,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78033402"
8749982,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78032492"
8750232,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78035982"
8750252,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78036002"
8750282,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78036082"
8750302,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78036112"
8750312,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78036132"
8750322,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78036152"
8750332,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78036242"
8750502,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78037512"
8750522,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78037552"
8750552,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78037622"
8750612,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78037652"
8750632,32.867374,-97.209389,"Big Barn Bar-B-Que","North Richland Hills","78037662"
8826402,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","89495182|89495462|89496612|89494882|89494782|78694052|89495572|89496032|89497022|89496562|89494742|92191962|89496882|89495222|89496002|89495042|89495082|89495632"
8827292,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78699962"
8827312,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78699952"
8827412,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78700912"
8827422,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78700932"
8827432,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78700942"
8827442,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78700972"
8827462,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78700992"
8827472,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701012"
8827492,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701032"
8827582,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701652"
8827592,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701662"
8827612,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701672"
8827642,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701712"
8827652,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701722"
8827672,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78701732"
8827772,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78703252"
8827792,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78703122"
8827902,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","78703172"
8886722,32.8554,-97.192146,"Stormy Plaza","North Richland Hills","79205502"
9025312,32.848145,-97.195282,"NRH2O Family Waterpark","North Richland Hills","80443382"
9232732,32.83852,-97.250175,"The Hills Church of Christ","North Richland Hills","82155252"
9263412,32.84248,-97.202179,"Roxys bar and grill","North Richland Hills","82403192"
10104402,32.834095,-97.205284,"Ernie's Seafood Restaurant","North Richland Hills","89495752"
10529412,32.844776,-97.239204,"Dickey's Barbecue Pit","North Richland Hills","92431832|92434392|92433842|92432522|92432612|92433822|95367622"
10771222,32.854881,-97.187233,"CRISTINA'S ","North Richland Hills","102554482"
11502422,32.863117,-97.214394,"Cotton Belt Trail","North Richland Hills","102606042"
